Date,Price,Market Cap,Volume
2020-04-09,0.01870963556667437,0.0,144.5937778567388
2020-04-18,0.035882354990782614,0.0,724.9318088433522
2020-04-19,0.038543565134273754,0.0,3.5840787210914957
2020-04-20,0.04105177137979193,0.0,88.52659681489935
2020-04-21,0.043761147784546275,0.0,197.4990899294369
2020-04-22,0.043803173044120715,0.0,33.3222695959219
2020-04-26,0.06351624129284031,0.0,501.02209438962245
2020-04-27,0.06525627676512182,0.0,31.025208226641567
2020-04-28,0.06738752070744661,0.0,78.54251765052284
2020-05-01,0.07568577745244447,0.0,40.52478986588151
2020-05-02,0.1424950877995911,0.0,6406.727738740981
2020-05-03,0.14265790087115715,0.0,27.92158080552716
2020-05-04,0.15594261444210444,0.0,207.93466203432618
2020-05-05,0.1639898317571473,0.0,204.10839693426888
2020-05-06,0.16420122799612907,0.0,1.6420122799612906
2020-05-08,0.2427215724725761,0.0,1110.9146720003416
2020-05-10,0.2078251900998103,0.0,92.83103646350139
2020-05-11,0.20836859800851662,0.0,6.224536333024464
2020-05-12,0.29131137081235897,0.0,2263.002408160792
2020-05-13,0.29786595545367905,0.0,134.69498505615368
2020-05-14,0.31024708502838183,0.0,49.019039434484334
2020-05-15,0.3102091885046926,0.0,19.795320331279278
2020-05-16,0.3200084217630577,0.0,206.11714286886283
2020-05-17,0.35732837913377835,0.0,368.44633700341365
2020-05-18,0.45217244281630153,0.0,1551.015585432642
2020-05-19,0.1373190119130273,0.0,2984.9932661401613
2020-05-20,0.1591186004504154,0.0,283.32983778874325
2020-05-21,0.41296490220956233,0.0,9433.741451292044
2020-05-22,0.49909736160581936,0.0,4342.48792339519
2020-05-23,0.3011204948959182,0.0,1090.879158199462
2020-05-24,0.31933985048586866,0.0,2830.1238741953302
2020-05-25,0.2562402177225256,0.0,350.64940743195854
2020-05-26,0.20252901376301582,0.0,404.01420210132295
2020-05-27,0.1871597737509837,0.0,76.11229092078426
2020-05-28,0.19232087290030142,0.0,9.61604364501507
2020-05-29,0.25444979046322885,0.0,100.9634606950542
2020-05-30,0.2752453485239677,0.0,1195.5040190237416
2020-05-31,0.2663086451448904,0.0,60.590635617495685
2020-06-01,0.22958583241547428,0.0,143.23171816927788
2020-06-02,0.22244194780421608,0.0,498.0269184372169
2020-06-03,0.16778375496438203,0.0,1903.3095937623573
2020-06-04,0.15937979264404817,0.0,267.19123427662583
2020-06-05,0.1539269931964857,0.0,77.91182591447307
2020-06-06,0.16568925954928437,0.0,319.41243643032743
2020-06-07,0.15335602385362082,0.0,631.7328188980765
2020-06-08,0.15416956278753424,0.0,42.131565594727576
2020-06-09,0.15620918911296283,0.0,24.823339370439083
2020-06-10,0.15904517535757065,0.0,296.2718485575606
2020-06-11,0.16119911618769875,0.0,177.24906281390653
2020-06-12,0.14800145145604449,0.0,60.884577708655556
2020-06-13,0.13842285823711753,0.0,318.20364232565953
2020-06-14,0.13885234453640408,0.0,145.58995291856678
2020-06-15,0.13853048222499592,0.0,145.2524727058946
2020-06-16,0.09799412831481334,0.0,1596.4569798179864
2020-06-17,0.09923510929953115,0.0,219.1323900460158
2020-06-18,0.09592068609501589,0.0,128.85065330924164
2020-06-26,0.12198635395121189,0.0,1112.9121828452905
2020-06-27,0.12198635395121189,0.0,1112.9121828452905
2020-06-28,0.10185642152280132,0.0,676.3937765333466
2020-06-29,0.03753894498997961,0.0,434.9073336456017
2020-06-30,0.04815592367134266,0.0,476.31464525086795
2020-07-01,0.04391860995751514,0.0,940.1362169999533
2020-07-02,0.04283322218049891,0.0,22.453253805573702
2020-07-03,0.3286180972869703,0.0,136375.68374354465
2020-07-04,0.2603429811156786,0.0,26635.045620539833
2020-07-05,0.31050351169955165,0.0,47552.620182242834
2020-07-06,0.21191528737276746,0.0,14261.142803273466
2020-07-07,0.15993464572727867,0.0,3984.2764685838247
2020-07-08,0.18687471797958907,0.0,28012.404479057725
2020-07-09,0.15122212376362026,0.0,4978.724060672794
2020-07-10,0.14076656399593213,0.0,2788.4265771254563
2020-07-11,0.13887785766653776,0.0,4533.563651352032
2020-07-12,0.11190714037074234,0.0,1964.9330819469212
2020-07-13,0.0975206164713868,0.0,936.0641212628118
2020-07-14,0.08531575129400316,0.0,1653.524264125445
2020-07-15,0.09957120914402275,0.0,1688.4937810386848
2020-07-16,0.1074681291551698,0.0,288.8279041168685
2020-07-17,0.15201204414155103,0.0,2057.4059228839296
2020-07-18,0.19124515222064814,0.0,6029.818795313566
2020-07-19,0.21813881846637667,0.0,111.59927311470038
2020-07-20,0.19792305336910004,0.0,6104.101449051991
2020-07-20,0.2059043750429966,0.0,5682.365494942711
